name,description,gx_media_links,WKT,longitude,latitude
"KLeiner Bunker ",,,"POINT Z (6.250982 50.754346 0)",6.250982,50.754346
"Alte Kassernen",,,"POINT Z (13.824588 54.118447 0)",13.824588,54.118447
"3 Panzerwracks","https://www.facebook.com/groups/630193237595288/permalink/760954284519182/  Früher : https://www.facebook.com/groups/630193237595288/permalink/760972651184012",,"POINT Z (9.77666666666667 52.4408333333333 0)",9.77666666666667,52.4408333333333
"Militär jet",,,"POLYGON Z ((5.4540899 51.0549905 0, 5.4421579 51.061168 0, 5.4183456 51.049659 0, 5.4340538 51.0349424 0, 5.4665564 51.0401613 0, 5.4859779 51.0372086 0, 5.5111523 51.0613968 0, 5.5097902 51.065995 0, 5.4540899 51.0549905 0))"
"Militärgelände der Briten","https://www.facebook.com/groups/630193237595288/permalink/669607670320511/",,"POINT Z (6.32118 51.175566 0)",6.32118,51.175566
"Gasmasken-Bunker","wer fotos hat bitte einen beitrag in unserer FB Gruppe erstellen ( er wird dann mit dem punkt hier auf der karte verbunden )",,"POINT Z (7.434242 51.515178 0)",7.434242,51.515178
"Funkerbunker.",,,"POINT Z (11.452994 50.447232 0)",11.452994,50.447232
"Kaserne","https://www.facebook.com/photo.php?fbid=316448079415581&set=pcb.659215524693059&type=3&theater&ifg=1",,"POINT Z (12.437797 54.270156 0)",12.437797,54.270156
"USA-NATO Kaserne","https://www.facebook.com/groups/630193237595288/permalink/636486640299281/",,"POINT Z (6.334089 51.348696 0)",6.334089,51.348696
"Hubschrauber auf Militär Gelände ","wer fotos hat bitte einen beitrag in unserer FB Gruppe erstellen ( er wird dann mit dem punkt hier auf der karte verbunden )",,"POINT Z (10.0449589 54.022887 0)",10.0449589,54.022887
"Bunker Völklingen Ludweiler",,,"POINT Z (6.805889 49.206917 0)",6.805889,49.206917
"Bundeswehr-Gelände","https://www.facebook.com/groups/630193237595288/permalink/637257496888862/",,"POINT Z (6.8824375 51.2623125 0)",6.8824375,51.2623125
"Fort IX","<a href=""https://www.youtube.com/watch?v=wnG0Ylv19N0""><img src=""https://img.youtube.com/vi/wnG0Ylv19N0/hqdefault.jpg"" height=""200"" width=""auto"" /></a><br><br><a href=""https://www.youtube.com/embed/wnG0Ylv19N0"">https://www.youtube.com/embed/wnG0Ylv19N0</a><br><br>https://www.facebook.com/groups/630193237595288/permalink/669434833671128/","https://www.youtube.com/embed/wnG0Ylv19N0","POINT Z (7.0216038 50.9099818 0)",7.0216038,50.9099818
"Bunker
","https://www.facebook.com/groups/630193237595288/permalink/676609966286948/",,"POINT Z (6.739267 51.464942 0)",6.739267,51.464942
"Russischer Fliegerhorst","https://www.facebook.com/groups/630193237595288/permalink/633599903921288/",,"POINT Z (17.1670666666667 46.6891388888889 0)",17.1670666666667,46.6891388888889
